name,mfr,rating,sugar_per_cup,calories_per_cup,protein_per_cup,fat_per_cup,fiber_per_cup,sodium_per_cup,carbo_per_cup,potass_per_cup,image_url
Count Chocula,G,22.396513,13,110,1,1,0,180,12,65,https://i.ebayimg.com/images/g/Q0cAAOSwiP1ip-zv/s-l1200.jpg
Cracklin' Oat Bran,K,40.448772,14,220,6,6,8,280,20,320,"https://m.media-amazon.com/images/I/913zWRDCveL._UF1000,1000_QL80_.jpg"
Cream of Wheat (Quick),N,64.533816,0,100,3,0,1,80,21,30,https://assets.usfoods.com/Product/Image/1465028/68ea2f1ff2bd3a33233060521e7a17df.jpg
Crispix,K,46.895644,3,110,2,0,1,220,21,30,https://m.media-amazon.com/images/I/81xziOzuueL.jpg
Crispy Wheat & Raisins,G,36.176196,13.33,133.33,2.67,1.33,2.67,186.67,14.67,160,https://i.ytimg.com/vi/v3rwJzytSwM/hq720.jpg?sqp=-oaymwEhCK4FEIIDSFryq4qpAxMIARUAAAAAGAElAADIQj0AgKJD&rs=AOn4CLBCBSd4ECdWFk-Y3_pU98mPWZerkw
Double Chex,R,44.330856,6.67,133.33,2.67,0,1.33,253.33,24,106.67,https://i.ebayimg.com/images/g/-zYAAOSwdctjwW9D/s-l1200.jpg
Froot Loops,K,32.207582,13,110,2,1,1,125,11,30,"https://m.media-amazon.com/images/I/91ZlvRAdYjL._UF1000,1000_QL80_.jpg"
Frosted Flakes,K,31.435973,14.67,146.67,1.33,0,1.33,266.67,18.67,33.33,https://i5.walmartimages.com/seo/Kellogg-s-Breakfast-Cereal-Frosted-Flakes-Original-26-8-Oz_81f5dc77-6a62-4933-bfc4-84ba407bd794_2.fa00c9782df1cbadf823b651f9e9c9b7.jpeg?odnHeight=768&odnWidth=768&odnBg=FFFFFF
Frosted Mini-Wheats,K,58.345141,8.75,125,3.75,0,3.75,0,17.5,125,"https://m.media-amazon.com/images/I/81byKl71yrL._UF894,1000_QL80_.jpg"
Fruit & Fibre Dates; Walnuts; and Oats,P,40.917047,14.93,179.1,4.48,2.99,7.46,238.81,17.91,298.51,https://i.ebayimg.com/images/g/-OQAAOSwBahUzOxB/s-l1200.jpg
Fruitful Bran,K,41.015492,17.91,179.1,4.48,0,7.46,358.21,20.9,283.58,https://i.ebayimg.com/00/s/MTU5OVgxMjAw/z/0o8AAOSwwnFgEOC1/$_57.JPG?set_id=8800005007
Fruity Pebbles,P,28.025765,16,146.67,1.33,1.33,0,180,17.33,33.33,https://i.ebayimg.com/images/g/6cEAAOSwkztgIz~F/s-l1200.jpg
Golden Crisp,P,35.252444,17.05,113.64,2.27,0,0,51.14,12.5,45.45,https://m.media-amazon.com/images/I/81ObwnUhfkL.jpg
Golden Grahams,G,23.804043,12,146.67,1.33,1.33,0,373.33,20,60,https://m.media-amazon.com/images/I/711f4fBcc9L.jpg
Grape Nuts Flakes,P,52.076897,5.68,113.64,3.41,1.14,3.41,159.09,17.05,96.59,https://m.media-amazon.com/images/I/81fzdyNKGWL.jpg
Grape-Nuts,P,53.371007,12,440,12,0,12,680,68,360,"https://m.media-amazon.com/images/I/5126kmwBenL._UF894,1000_QL80_.jpg"
Great Grains Pecan,P,45.811716,12.12,363.64,9.09,9.09,9.09,227.27,39.39,303.03,https://m.media-amazon.com/images/I/91pvSMvVMEL.jpg
Honey Graham Ohs,Q,21.871292,11,120,1,2,1,220,12,45,https://m.media-amazon.com/images/I/51tTSs6ZUbL._AC_.jpg
Honey Nut Cheerios,G,31.072217,13.33,146.67,4,1.33,2,333.33,15.33,120,https://m.media-amazon.com/images/I/81rOCRn4PkL.jpg
Honey-comb,P,28.742414,8.27,82.71,0.75,0,0,135.34,10.53,26.32,"https://m.media-amazon.com/images/I/81wA86EYLNL._UF894,1000_QL80_.jpg"
Just Right Crunchy  Nuggets,K,36.523683,6,110,2,1,1,170,17,60,https://www.mrbreakfast.com/cereal/c_210.jpg
Just Right Fruit & Nut,K,36.471512,12,186.67,4,1.33,2.67,226.67,26.67,126.67,https://images.freshop.ncrcloud.com/00038000041006/5f697f544d9718b01ed38a5256981ed7_large.png
Kix,G,39.241114,2,73.33,1.33,0.67,0,173.33,14,26.67,"https://m.media-amazon.com/images/I/81j3jjtOpQL._UF894,1000_QL80_.jpg"
Life,Q,45.328074,8.96,149.25,5.97,2.99,2.99,223.88,17.91,141.79,"https://m.media-amazon.com/images/I/81qN49hb-XL._UF894,1000_QL80_.jpg"
Lucky Charms,G,26.734515,12,110,2,1,0,180,12,55,https://target.scene7.com/is/image/Target/GUEST_9d43fc05-197c-4ecf-923d-b1316b86d9f8?wid=300&hei=300&fmt=pjpeg
Maypo,A,54.850917,3,100,4,1,0,0,16,95,https://m.media-amazon.com/images/I/81i3wta3p8L.jpg
Muesli Raisins; Dates; & Almonds,R,37.136863,11,150,4,3,3,95,16,170,https://www.instacart.com/image-server/1864x1864/www.instacart.com/assets/domains/product-image/file/large_4a2ee9e5-5046-4aec-aeba-85a3dbf75899.png
Muesli Raisins; Peaches; & Pecans,R,34.139765,11,150,4,3,3,150,16,170,"https://m.media-amazon.com/images/I/612YpyI3vOL._UF894,1000_QL80_.jpg"
Mueslix Crispy Blend,K,30.313351,19.4,238.81,4.48,2.99,4.48,223.88,25.37,238.81,https://i.ebayimg.com/images/g/tMcAAOSwJsZigaBo/s-l1200.jpg
Multi-Grain Cheerios,G,40.105965,6,100,2,1,2,220,15,90,"https://m.media-amazon.com/images/I/81HLLOOMhxL._UF894,1000_QL80_.jpg"
Nut&Honey Crunch,K,29.924285,13.43,179.1,2.99,1.49,0,283.58,22.39,59.7,https://i.ebayimg.com/images/g/szgAAOSwgjtk-GsV/s-l400.jpg
Nutri-Grain Almond-Raisin,K,40.69232,10.45,208.96,4.48,2.99,4.48,328.36,31.34,194.03,https://i.ebayimg.com/images/g/NpwAAOSwnIpnJjrG/s-l1200.jpg
Nutri-grain Wheat,K,59.642837,2,90,3,0,3,170,18,90,"https://m.media-amazon.com/images/I/81JXmcFvKoL._UF894,1000_QL80_.jpg"
Oatmeal Raisin Crisp,G,30.450843,20,260,6,4,3,340,27,240,https://i.ebayimg.com/images/g/OKAAAOSwun1gbM4Q/s-l1200.jpg
Post Nat. Raisin Bran,P,37.840594,20.9,179.1,4.48,1.49,8.96,298.51,16.42,388.06,https://www.postconsumerbrands.com/wp-content/uploads/2023/12/Raisin-Bran-cereal-1024x1024.png
Product 19,K,41.50354,3,100,3,0,1,320,20,45,https://img.atlasobscura.com/sZwfmRgjfDIY4U01YDa88Ua7CqZTeYlakCpQMZA4TKc/rs:fill:780:520:1/g:ce/q:81/sm:1/scp:1/ar:1/aHR0cHM6Ly9hdGxh/cy1kZXYuczMuYW1h/em9uYXdzLmNvbS91/cGxvYWRzL2Fzc2V0/cy84MGVlOTdjYzU1/Y2YxYmZhYTBfNDQ1/MDQ3NTA1Nl9kOGQx/NDJlMTczX28uanBn.jpg
Puffed Rice,Q,60.756112,0,50,1,0,0,0,13,15,https://i.ebayimg.com/images/g/TV4AAOSwZnRmiS9-/s-l1200.jpg
Puffed Wheat,Q,63.005645,0,50,2,0,1,0,10,50,"https://m.media-amazon.com/images/I/81ObwnUhfkL._UF350,350_QL50_.jpg"
Quaker Oat Squares,Q,49.511874,12,200,8,2,4,270,28,220,https://target.scene7.com/is/image/Target/GUEST_a9e531d3-971e-451d-8acb-532eaff32b76?wid=300&hei=300&fmt=pjpeg
Quaker Oatmeal,Q,50.828392,2,149.25,7.46,2.99,4.03,0,54,164.18,https://www.quakeroats.com/sites/quakeroats.com/files/quaker_oatmealsquares_brownsugar_320x400_3.png
Raisin Bran,K,39.259197,16,160,4,1.33,6.67,280,18.67,320,"https://m.media-amazon.com/images/I/81Mbb9FQ2RL._UF894,1000_QL80_.jpg"
Raisin Nut Bran,G,39.7034,16,160,6,4,5,280,21,280,"https://m.media-amazon.com/images/I/81mJ7oLDUBL._UF894,1000_QL80_.jpg"
Raisin Squares,K,55.333142,12,180,4,0,4,0,30,220,https://i.ebayimg.com/images/g/P2oAAOSwFd9gbNCE/s-l1200.jpg
Rice Chex,R,41.998933,1.77,97.35,0.88,0,0,212.39,20.35,26.55,"https://m.media-amazon.com/images/I/817-8iLd0UL._UF894,1000_QL80_.jpg"
Rice Krispies,K,40.560159,3,110,2,0,0,290,22,35,"https://m.media-amazon.com/images/I/91wQJ7zL0hL._UF350,350_QL80_.jpg"
Shredded Wheat,N,68.235885,0,80,2,0,3,0,16,95,"https://m.media-amazon.com/images/I/81heGXgKUiL._UF894,1000_QL80_.jpg"
Shredded Wheat 'n' Bran,N,74.472949,0,134.33,4.48,0,5.97,0,28.36,208.96,https://i5.walmartimages.com/asr/28925209-5a8e-4d8e-bb3f-8f108917f7b1.82ada59162c67d0608c73ab3ec7fdeaf.jpeg
Shredded Wheat (Spoon Size),N,72.801787,0,134.33,4.48,0,4.48,0,29.85,179.1,https://i5.walmartimages.com/asr/981f213f-601e-424d-872e-bdd584ceddd5.a67b44591eb953b738b606d6a4a445a2.jpeg
Smacks,K,31.230054,20,146.67,2.67,1.33,1.33,93.33,12,53.33,https://i5.walmartimages.com/asr/1b0ca0f6-5756-47c8-8704-027a92ce41e1.e5358ad10a7e13e538b9418c2361e3fe.jpeg?odnHeight=768&odnWidth=768&odnBg=FFFFFF
Special K,K,53.131324,3,110,6,0,1,230,16,55,https://m.media-amazon.com/images/I/71ImVIXqJEL.jpg
Strawberry Fruit Wheats,N,59.363993,5,90,2,0,3,15,15,90,https://s3-us-west-2.amazonaws.com/static.gardengrocer.com/attachments/photos/high_res/2626.jpg?5457
Total Corn Flakes,G,38.839746,3,110,2,1,0,200,21,35,"https://m.media-amazon.com/images/I/81N3nxSfEzL._UF1000,1000_QL80_.jpg"
Total Raisin Bran,G,28.592785,14,140,3,1,4,190,15,230,https://images.freshop.ncrcloud.com/00016000275133/687bb5107cd000d08c4d0340b4f4fa15_large.png
Total Whole Grain,G,46.658844,3,100,3,1,3,200,16,110,https://m.media-amazon.com/images/I/81N3nxSfEzL.jpg
Triples,G,39.106174,4,146.67,2.67,1.33,0,333.33,28,80,https://i.ebayimg.com/images/g/Qg0AAOSwk4tlG4ow/s-l1200.png
Trix,G,27.753301,12,110,1,1,0,140,13,25,https://m.media-amazon.com/images/I/819AURbK-oL.jpg
Wheat Chex,R,49.787445,4.48,149.25,4.48,1.49,4.48,343.28,25.37,171.64,https://i5.walmartimages.com/asr/54ab41fc-bcef-4887-b4cd-736fadf8a248.148e701fe43d192f9ea457e80fbf11b1.jpeg
Wheaties,G,51.592193,3,100,3,1,3,200,17,110,https://th-thumbnailer.cdn-si-edu.com/ipqR1zhTimCYIha9OWWtkwogfLM=/800x0/filters:no_upscale()/https://tf-cmsv2-smithsonianmag-media.s3.amazonaws.com/filer/Walter-Payton-1986-large-600.jpg
Wheaties Honey Gold,G,36.187559,10.67,146.67,2.67,1.33,1.33,266.67,21.33,80,https://www.mrbreakfast.com/cereal/c_1196_wheaties_honey_gold_box_front.jpg
